topic_label,lineage_label,article_author_links,topic_total_article_author_links,percent_within_topic
"How social context, affective resources and assessment shape students’ academic engagement and trajectories",Corporate data and policy sources,265,13804,1.92
"How social context, affective resources and assessment shape students’ academic engagement and trajectories","Developmental, family, peer and ecological traditions",1269,13804,9.19
"How social context, affective resources and assessment shape students’ academic engagement and trajectories","Didactics, classroom knowledge and practices",1077,13804,7.80
"How social context, affective resources and assessment shape students’ academic engagement and trajectories","Educational policy, sociology and comparative education",210,13804,1.52
"How social context, affective resources and assessment shape students’ academic engagement and trajectories","Individual differences, cognition and achievement",531,13804,3.85
"How social context, affective resources and assessment shape students’ academic engagement and trajectories",Interactionist constructivist / social-cognitive,242,13804,1.75
"How social context, affective resources and assessment shape students’ academic engagement and trajectories",Intervention and instructional design,206,13804,1.49
"How social context, affective resources and assessment shape students’ academic engagement and trajectories","Motivation, self-regulation and identity",7421,13804,53.76
"How social context, affective resources and assessment shape students’ academic engagement and trajectories","Psychometrics, measurement and statistics",1698,13804,12.30
"How social context, affective resources and assessment shape students’ academic engagement and trajectories",Social representations and institutional context,461,13804,3.34
"How social context, affective resources and assessment shape students’ academic engagement and trajectories","Sociocultural, dialogic and activity traditions",416,13804,3.01
"How social context, affective resources and assessment shape students’ academic engagement and trajectories","Theoretical, philosophical and historical sources",8,13804,0.06
"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices",Corporate data and policy sources,33,1600,2.06
"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices","Developmental, family, peer and ecological traditions",120,1600,7.50
"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices","Didactics, classroom knowledge and practices",194,1600,12.12
"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices","Educational policy, sociology and comparative education",6,1600,0.38
"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices","Individual differences, cognition and achievement",42,1600,2.62
"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices",Interactionist constructivist / social-cognitive,385,1600,24.06
"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices",Intervention and instructional design,33,1600,2.06
"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices","Motivation, self-regulation and identity",176,1600,11.00
"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices","Psychometrics, measurement and statistics",48,1600,3.00
"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices",Social representations and institutional context,75,1600,4.69
"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices","Sociocultural, dialogic and activity traditions",487,1600,30.44
"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices","Theoretical, philosophical and historical sources",1,1600,0.06
"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms",Corporate data and policy sources,40,2129,1.88
"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms","Developmental, family, peer and ecological traditions",195,2129,9.16
"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms","Didactics, classroom knowledge and practices",309,2129,14.51
"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms","Educational policy, sociology and comparative education",17,2129,0.80
"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms","Individual differences, cognition and achievement",493,2129,23.16
"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms",Interactionist constructivist / social-cognitive,234,2129,10.99
"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms",Intervention and instructional design,91,2129,4.27
"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms","Motivation, self-regulation and identity",405,2129,19.02
"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms","Psychometrics, measurement and statistics",159,2129,7.47
"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms",Social representations and institutional context,26,2129,1.22
"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms","Sociocultural, dialogic and activity traditions",156,2129,7.33
"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms","Theoretical, philosophical and historical sources",4,2129,0.19
"Student learning, conceptual development, and instructional design",Corporate data and policy sources,18,1699,1.06
"Student learning, conceptual development, and instructional design","Developmental, family, peer and ecological traditions",45,1699,2.65
"Student learning, conceptual development, and instructional design","Didactics, classroom knowledge and practices",472,1699,27.78
"Student learning, conceptual development, and instructional design","Educational policy, sociology and comparative education",13,1699,0.77
"Student learning, conceptual development, and instructional design","Individual differences, cognition and achievement",161,1699,9.48
"Student learning, conceptual development, and instructional design",Interactionist constructivist / social-cognitive,214,1699,12.60
"Student learning, conceptual development, and instructional design",Intervention and instructional design,158,1699,9.30
"Student learning, conceptual development, and instructional design","Motivation, self-regulation and identity",328,1699,19.31
"Student learning, conceptual development, and instructional design","Psychometrics, measurement and statistics",95,1699,5.59
"Student learning, conceptual development, and instructional design",Social representations and institutional context,27,1699,1.59
"Student learning, conceptual development, and instructional design","Sociocultural, dialogic and activity traditions",162,1699,9.54
"Student learning, conceptual development, and instructional design","Theoretical, philosophical and historical sources",6,1699,0.35
"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving",Corporate data and policy sources,28,1161,2.41
"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving","Developmental, family, peer and ecological traditions",77,1161,6.63
"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving","Didactics, classroom knowledge and practices",261,1161,22.48
"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving","Educational policy, sociology and comparative education",5,1161,0.43
"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving","Individual differences, cognition and achievement",326,1161,28.08
"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving",Interactionist constructivist / social-cognitive,154,1161,13.26
"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving",Intervention and instructional design,43,1161,3.70
"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving","Motivation, self-regulation and identity",78,1161,6.72
"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving","Psychometrics, measurement and statistics",125,1161,10.77
"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving",Social representations and institutional context,17,1161,1.46
"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving","Sociocultural, dialogic and activity traditions",46,1161,3.96
"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving","Theoretical, philosophical and historical sources",1,1161,0.09
"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake",Corporate data and policy sources,4,837,0.48
"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake","Developmental, family, peer and ecological traditions",18,837,2.15
"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake","Didactics, classroom knowledge and practices",165,837,19.71
"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake","Educational policy, sociology and comparative education",8,837,0.96
"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake","Individual differences, cognition and achievement",55,837,6.57
"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake",Interactionist constructivist / social-cognitive,31,837,3.70
"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake",Intervention and instructional design,59,837,7.05
"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake","Motivation, self-regulation and identity",329,837,39.31
"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake","Psychometrics, measurement and statistics",65,837,7.77
"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake",Social representations and institutional context,11,837,1.31
"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake","Sociocultural, dialogic and activity traditions",90,837,10.75
"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake","Theoretical, philosophical and historical sources",2,837,0.24
Social ecology of school bullying and adolescent adjustment,Corporate data and policy sources,4,151,2.65
Social ecology of school bullying and adolescent adjustment,"Developmental, family, peer and ecological traditions",50,151,33.11
Social ecology of school bullying and adolescent adjustment,"Didactics, classroom knowledge and practices",12,151,7.95
Social ecology of school bullying and adolescent adjustment,"Educational policy, sociology and comparative education",4,151,2.65
Social ecology of school bullying and adolescent adjustment,"Individual differences, cognition and achievement",7,151,4.64
Social ecology of school bullying and adolescent adjustment,Interactionist constructivist / social-cognitive,4,151,2.65
Social ecology of school bullying and adolescent adjustment,Intervention and instructional design,3,151,1.99
Social ecology of school bullying and adolescent adjustment,"Motivation, self-regulation and identity",44,151,29.14
Social ecology of school bullying and adolescent adjustment,"Psychometrics, measurement and statistics",18,151,11.92
Social ecology of school bullying and adolescent adjustment,Social representations and institutional context,2,151,1.32
Social ecology of school bullying and adolescent adjustment,"Sociocultural, dialogic and activity traditions",3,151,1.99
Social ecology of school bullying and adolescent adjustment,"Theoretical, philosophical and historical sources",0,151,0.00
"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence",Corporate data and policy sources,15,509,2.95
"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence","Developmental, family, peer and ecological traditions",21,509,4.13
"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence","Didactics, classroom knowledge and practices",41,509,8.06
"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence","Educational policy, sociology and comparative education",8,509,1.57
"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence","Individual differences, cognition and achievement",49,509,9.63
"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence",Interactionist constructivist / social-cognitive,17,509,3.34
"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence",Intervention and instructional design,8,509,1.57
"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence","Motivation, self-regulation and identity",213,509,41.85
"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence","Psychometrics, measurement and statistics",58,509,11.39
"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence",Social representations and institutional context,60,509,11.79
"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence","Sociocultural, dialogic and activity traditions",19,509,3.73
"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence","Theoretical, philosophical and historical sources",0,509,0.00
"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings",Corporate data and policy sources,9,428,2.10
"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings","Developmental, family, peer and ecological traditions",14,428,3.27
"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings","Didactics, classroom knowledge and practices",82,428,19.16
"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings","Educational policy, sociology and comparative education",4,428,0.93
"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings","Individual differences, cognition and achievement",65,428,15.19
"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings",Interactionist constructivist / social-cognitive,25,428,5.84
"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings",Intervention and instructional design,36,428,8.41
"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings","Motivation, self-regulation and identity",106,428,24.77
"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings","Psychometrics, measurement and statistics",47,428,10.98
"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings",Social representations and institutional context,7,428,1.64
"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings","Sociocultural, dialogic and activity traditions",28,428,6.54
"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings","Theoretical, philosophical and historical sources",5,428,1.17
"Values in education and vocational development: formation, transmission, and consequences",Corporate data and policy sources,9,287,3.14
"Values in education and vocational development: formation, transmission, and consequences","Developmental, family, peer and ecological traditions",40,287,13.94
"Values in education and vocational development: formation, transmission, and consequences","Didactics, classroom knowledge and practices",5,287,1.74
"Values in education and vocational development: formation, transmission, and consequences","Educational policy, sociology and comparative education",5,287,1.74
"Values in education and vocational development: formation, transmission, and consequences","Individual differences, cognition and achievement",8,287,2.79
"Values in education and vocational development: formation, transmission, and consequences",Interactionist constructivist / social-cognitive,5,287,1.74
"Values in education and vocational development: formation, transmission, and consequences",Intervention and instructional design,0,287,0.00
"Values in education and vocational development: formation, transmission, and consequences","Motivation, self-regulation and identity",136,287,47.39
"Values in education and vocational development: formation, transmission, and consequences","Psychometrics, measurement and statistics",40,287,13.94
"Values in education and vocational development: formation, transmission, and consequences",Social representations and institutional context,33,287,11.50
"Values in education and vocational development: formation, transmission, and consequences","Sociocultural, dialogic and activity traditions",6,287,2.09
"Values in education and vocational development: formation, transmission, and consequences","Theoretical, philosophical and historical sources",0,287,0.00
Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),Corporate data and policy sources,4,92,4.35
Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),"Developmental, family, peer and ecological traditions",53,92,57.61
Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),"Didactics, classroom knowledge and practices",5,92,5.43
Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),"Educational policy, sociology and comparative education",1,92,1.09
Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),"Individual differences, cognition and achievement",3,92,3.26
Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),Interactionist constructivist / social-cognitive,1,92,1.09
Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),Intervention and instructional design,0,92,0.00
Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),"Motivation, self-regulation and identity",5,92,5.43
Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),"Psychometrics, measurement and statistics",15,92,16.30
Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),Social representations and institutional context,0,92,0.00
Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),"Sociocultural, dialogic and activity traditions",5,92,5.43
Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),"Theoretical, philosophical and historical sources",0,92,0.00
"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development",Corporate data and policy sources,3,44,6.82
"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development","Developmental, family, peer and ecological traditions",15,44,34.09
"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development","Didactics, classroom knowledge and practices",0,44,0.00
"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development","Educational policy, sociology and comparative education",0,44,0.00
"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development","Individual differences, cognition and achievement",1,44,2.27
"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development",Interactionist constructivist / social-cognitive,6,44,13.64
"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development",Intervention and instructional design,1,44,2.27
"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development","Motivation, self-regulation and identity",1,44,2.27
"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development","Psychometrics, measurement and statistics",0,44,0.00
"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development",Social representations and institutional context,1,44,2.27
"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development","Sociocultural, dialogic and activity traditions",16,44,36.36
"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development","Theoretical, philosophical and historical sources",0,44,0.00
"Group-based school interventions for social‑emotional, behavioural and early cognitive skills",Corporate data and policy sources,5,222,2.25
"Group-based school interventions for social‑emotional, behavioural and early cognitive skills","Developmental, family, peer and ecological traditions",34,222,15.32
"Group-based school interventions for social‑emotional, behavioural and early cognitive skills","Didactics, classroom knowledge and practices",25,222,11.26
"Group-based school interventions for social‑emotional, behavioural and early cognitive skills","Educational policy, sociology and comparative education",4,222,1.80
"Group-based school interventions for social‑emotional, behavioural and early cognitive skills","Individual differences, cognition and achievement",49,222,22.07
"Group-based school interventions for social‑emotional, behavioural and early cognitive skills",Interactionist constructivist / social-cognitive,19,222,8.56
"Group-based school interventions for social‑emotional, behavioural and early cognitive skills",Intervention and instructional design,12,222,5.41
"Group-based school interventions for social‑emotional, behavioural and early cognitive skills","Motivation, self-regulation and identity",42,222,18.92
