topic,topic_label,orientation_category,orientation_label,n,topic_total,share_percent
0,"How social context, affective resources and assessment shape students’ academic engagement and trajectories",applied_psychology_in_education,Applied psychology in education,404,724,55.80110497237569
0,"How social context, affective resources and assessment shape students’ academic engagement and trajectories",context_sensitive_educational_psychology,Context-sensitive educational psychology,86,724,11.878453038674033
0,"How social context, affective resources and assessment shape students’ academic engagement and trajectories",fundamental_educational_interaction,Fundamental educational interaction,149,724,20.58011049723757
0,"How social context, affective resources and assessment shape students’ academic engagement and trajectories",methodological_measurement_contribution,Methodological or measurement contribution,42,724,5.801104972375691
0,"How social context, affective resources and assessment shape students’ academic engagement and trajectories",theoretical_reflexive_psychology_of_education,Theoretical/reflexive psychology of education,18,724,2.4861878453038675
0,"How social context, affective resources and assessment shape students’ academic engagement and trajectories",unclear,Unclear,25,724,3.4530386740331496
1,"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices",applied_psychology_in_education,Applied psychology in education,25,343,7.288629737609329
1,"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices",context_sensitive_educational_psychology,Context-sensitive educational psychology,16,343,4.664723032069971
1,"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices",fundamental_educational_interaction,Fundamental educational interaction,222,343,64.72303206997084
1,"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices",methodological_measurement_contribution,Methodological or measurement contribution,8,343,2.3323615160349855
1,"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices",theoretical_reflexive_psychology_of_education,Theoretical/reflexive psychology of education,64,343,18.658892128279884
1,"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices",unclear,Unclear,8,343,2.3323615160349855
2,"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms",applied_psychology_in_education,Applied psychology in education,167,279,59.85663082437276
2,"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms",context_sensitive_educational_psychology,Context-sensitive educational psychology,15,279,5.376344086021505
2,"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms",fundamental_educational_interaction,Fundamental educational interaction,63,279,22.58064516129032
2,"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms",methodological_measurement_contribution,Methodological or measurement contribution,17,279,6.093189964157706
2,"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms",theoretical_reflexive_psychology_of_education,Theoretical/reflexive psychology of education,10,279,3.584229390681003
2,"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms",unclear,Unclear,7,279,2.5089605734767026
3,"Student learning, conceptual development, and instructional design",applied_psychology_in_education,Applied psychology in education,63,190,33.1578947368421
3,"Student learning, conceptual development, and instructional design",context_sensitive_educational_psychology,Context-sensitive educational psychology,11,190,5.7894736842105265
3,"Student learning, conceptual development, and instructional design",fundamental_educational_interaction,Fundamental educational interaction,76,190,40.0
3,"Student learning, conceptual development, and instructional design",methodological_measurement_contribution,Methodological or measurement contribution,13,190,6.842105263157896
3,"Student learning, conceptual development, and instructional design",theoretical_reflexive_psychology_of_education,Theoretical/reflexive psychology of education,15,190,7.894736842105263
3,"Student learning, conceptual development, and instructional design",unclear,Unclear,12,190,6.315789473684211
4,"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving",applied_psychology_in_education,Applied psychology in education,43,100,43.0
