canonical_cited_author,raw_author_variants,n_raw_variants,n_articles_citing_author,n_reference_mentions,author_lineage_code,gilly_alignment,lineage_confidence,lineage_source,lineage_rationale,top_citing_article_gilly_category
J. S. Eccles,J. S. Eccles,1,248,531,motivation_self_regulation_identity,bridge_contextual,0.9,seed,Core source for expectancy-value theory and educational motivation.,context_sensitive_educational_psychology
OECD,OECD,1,236,296,corporate_data_policy_source,policy_context,0.98,seed,Official comparative education and policy data source.,context_sensitive_educational_psychology
R. M. Ryan,R. M. Ryan,1,212,580,motivation_self_regulation_identity,applied_mainstream,0.92,seed,Core source for self-determination theory and motivation research.,context_sensitive_educational_psychology
E. L. Deci,E. L. Deci,1,207,518,motivation_self_regulation_identity,applied_mainstream,0.92,seed,Core source for self-determination theory and motivation research.,context_sensitive_educational_psychology
H. W. Marsh,H. W. Marsh,1,203,520,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Marsh’s extensive work on academic self-concept and the internal/external frame-of-reference (often operationalized with SEM and multilevel models) links identity and motivational constructs to classroom and assessment contexts, making him primarily a motivation/identity scholar with clear contextual applications.",context_sensitive_educational_psychology
A. Bandura,A. Bandura,1,196,340,motivation_self_regulation_identity,bridge_contextual,0.9,seed,"Source for social cognitive theory and self-efficacy, often applied in educational contexts.",context_sensitive_educational_psychology
A. Wigfield,A. Wigfield,1,193,427,motivation_self_regulation_identity,bridge_contextual,0.9,seed,Core source for expectancy-value theory and educational motivation.,context_sensitive_educational_psychology
P. M. Bentler,P. M. Bentler,1,193,257,psychometrics_measurement_statistics,methodological,0.96,seed,Major source for structural equation modelling and fit indices.,context_sensitive_educational_psychology
P. R. Pintrich,P. R. Pintrich,1,186,339,motivation_self_regulation_identity,applied_mainstream,0.9,seed,Major source for motivation and self-regulated learning.,context_sensitive_educational_psychology
R. Pekrun,R. Pekrun,1,171,631,motivation_self_regulation_identity,bridge_contextual,0.9,openai,"Pekrun’s control-value theory of achievement emotions foregrounds appraisal-driven emotions in classroom and assessment situations, situating him in the motivation/self-regulation/identity tradition with strong contextual emphasis.",context_sensitive_educational_psychology
