topic_label,topic_total_article_author_links,Corporate data and policy sources,"Developmental, family, peer and ecological traditions","Didactics, classroom knowledge and practices","Educational policy, sociology and comparative education","Individual differences, cognition and achievement",Interactionist constructivist / social-cognitive,Intervention and instructional design,"Motivation, self-regulation and identity","Psychometrics, measurement and statistics",Social representations and institutional context,"Sociocultural, dialogic and activity traditions","Theoretical, philosophical and historical sources"
"How social context, affective resources and assessment shape students’ academic engagement and trajectories",13804,1.92,9.19,7.80,1.52,3.85,1.75,1.49,53.76,12.30,3.34,3.01,0.06
"Sociocultural mediation of early learning and classroom interaction: materiality, adult/peer scaffolding, and dialogic practices",1600,2.06,7.50,12.12,0.38,2.62,24.06,2.06,11.00,3.00,4.69,30.44,0.06
"Reading, writing and metacognition in children: cognitive, motivational and instructional mechanisms",2129,1.88,9.16,14.51,0.80,23.16,10.99,4.27,19.02,7.47,1.22,7.33,0.19
"Student learning, conceptual development, and instructional design",1699,1.06,2.65,27.78,0.77,9.48,12.60,9.30,19.31,5.59,1.59,9.54,0.35
"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving",1161,2.41,6.63,22.48,0.43,28.08,13.26,3.70,6.72,10.77,1.46,3.96,0.09
"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake",837,0.48,2.15,19.71,0.96,6.57,3.70,7.05,39.31,7.77,1.31,10.75,0.24
Social ecology of school bullying and adolescent adjustment,151,2.65,33.11,7.95,2.65,4.64,2.65,1.99,29.14,11.92,1.32,1.99,0.00
"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence",509,2.95,4.13,8.06,1.57,9.63,3.34,1.57,41.85,11.39,11.79,3.73,0.00
"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings",428,2.10,3.27,19.16,0.93,15.19,5.84,8.41,24.77,10.98,1.64,6.54,1.17
"Values in education and vocational development: formation, transmission, and consequences",287,3.14,13.94,1.74,1.74,2.79,1.74,0.00,47.39,13.94,11.50,2.09,0.00
Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),92,4.35,57.61,5.43,1.09,3.26,1.09,0.00,5.43,16.30,0.00,5.43,0.00
"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development",44,6.82,34.09,0.00,0.00,2.27,13.64,2.27,2.27,0.00,2.27,36.36,0.00
"Group-based school interventions for social‑emotional, behavioural and early cognitive skills",222,2.25,15.32,11.26,1.80,22.07,8.56,5.41,18.92,9.46,1.35,3.60,0.00
"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts",50,22.00,8.00,10.00,2.00,0.00,6.00,10.00,24.00,10.00,2.00,6.00,0.00
