lineage_label,broad_alignment,definition,representative_cited_authors,interpretive_use,n_canonical_cited_authors,article_author_links,reference_mentions
Corporate data and policy sources,"Policy, institutional and corporate sources","Institutional, governmental, supranational or corporate sources used as evidence for policy frameworks, statistics, programme reports, international comparisons or educational governance contexts.",OECD (236); American Psychological Association (92); UNESCO (59); European Commission (31); M. O. Martin (30),"Signals papers that position EJPE findings in relation to policy agendas, large-scale evidence, official definitions or institutional monitoring rather than primarily to a named psychological theory.",5,448,540
"Developmental, family, peer and ecological traditions",Developmental and ecological psychology,"Developmental, ecological and social-developmental traditions concerned with family processes, peer relations, adolescence, bullying, adjustment, identity, socialisation and development in nested contexts.",U. Bronfenbrenner (80); R. C. Pianta (65); J. Nurmi (63); K. R. Wentzel (63); D. A. Kenny (62); R. W. Roeser (54); S. G. West (52); N. Kiuru (51),"Helps identify work that treats educational outcomes as embedded in family, peer, school and wider developmental ecologies.",51,1955,3110
"Didactics, classroom knowledge and practices",Educational practice and didactics,"Didactic and classroom-practice sources concerned with curriculum knowledge, instruction, teacher practices, disciplinary learning and the organisation of teaching and learning activities.",J. Hattie (115); L. Verschaffel (75); M. Kunter (74); Y. Li (60); F. Marton (59); M. Brunner (57); P. A. Alexander (55); R. Glaser (55),Marks papers that connect psychological analysis to concrete instructional practices and classroom knowledge traditions.,67,2653,6001
"Educational policy, sociology and comparative education","Policy, sociology and comparative education","Sociological, comparative and policy-oriented traditions addressing educational systems, inequality, reform, institutional arrangements, social class, culture and cross-national comparison.",J. Baumert (115); A. Kaplan (64); A. S. Bryk (40); H. Cooper (40); Z. Wen (27),"Shows when EJPE articles anchor psychological questions in broader institutional, sociological or comparative accounts of education.",5,286,479
"Individual differences, cognition and achievement","Cognitive, achievement and individual-difference psychology","Cognitive and individual-difference sources focused on achievement, ability, intelligence, memory, learning processes, reading, problem solving, academic performance and cognitive development.",W. Schneider (97); W. Kintsch (69); M. Pressley (61); M. T. H. Chi (61); Y. Liu (60); B. Spinath (59); G. Schraw (55); J. S. Hyde (53),"Indicates work in which educational phenomena are interpreted through cognitive mechanisms, learner characteristics and achievement-related constructs.",47,1790,3152
Interactionist constructivist / social-cognitive,Constructivist and social-cognitive traditions,"Constructivist, social-cognitive and interactionist traditions linking knowledge construction, conflict, coordination of perspectives, peer interaction and social mediation of cognitive development.",J. Piaget (131); G. Mugny (94); A.-N. Perret-Clermont (87); A. L. Brown (83); R. S. Siegler (75); W. Doise (75); J. H. Flavell (74); L. Mason (43),This lineage is especially relevant to EJPE's founding concern with educational interaction as a source of psychological development.,28,1340,2639
Intervention and instructional design,Instructional intervention and design,"Sources on designed interventions, instructional programmes, pedagogical design, feedback, scaffolding, assessment for learning and experimentally evaluated educational supports.",R. E. Mayer (89); J. Sweller (64); X. Wang (60); P. A. Kirschner (47); J. Liu (43); F. Paas (41); H. Li (40); R. E. Slavin (36),Highlights papers where citation ancestry is tied to improving or testing educational designs and instructional tools.,16,655,1185
"Motivation, self-regulation and identity",Motivation and self-regulated learning,"Motivational, self-regulatory and identity traditions addressing goals, interest, engagement, self-efficacy, attribution, emotions, agency, persistence and learner identity.",J. S. Eccles (248); R. M. Ryan (212); E. L. Deci (207); H. W. Marsh (203); A. Bandura (196); A. Wigfield (193); P. R. Pintrich (186); R. Pekrun (171),"Shows the growth of later international educational-psychology traditions around engagement, motivation and self-regulated learning.",175,9296,17195
"Psychometrics, measurement and statistics",Measurement and methodology,"Methodological, psychometric and statistical sources used for measurement models, scale development, latent-variable analysis, reliability, validity, multilevel modelling and quantitative inference.",P. M. Bentler (193); J. Cohen (158); O. Ludtke (135); L. Hu (100); O. Koller (89); B. O. Muthen (83); A. F. Hayes (72); J. Wang (71),"Marks papers whose intellectual ancestry is methodological or measurement-oriented, often supporting empirical modelling rather than substantive theory alone.",46,2394,3173
Social representations and institutional context,Social representations and institutions,"Social-representational and socio-institutional traditions concerned with shared meanings, collective representations, identities, norms and institutional contexts of educational life.",F. Carugati (57); J. C. Turner (50); J. Xu (42); M. Dresel (42); C. Darnon (38); R. M. Baron (36); F. Butera (33); R. Rosenthal (32),Connects EJPE articles to a specifically European socio-institutional tradition in which education is studied through collective meaning and social context.,22,724,1801
"Sociocultural, dialogic and activity traditions",Sociocultural and dialogic psychology,"Vygotskian, sociocultural, dialogic and activity-theoretical sources focused on mediation, language, tools, participation, collaboration, classroom discourse and culturally organised activity.",L. S. Vygotsky (146); K. Aunola (71); B. Rogoff (69); R. Saljo (65); J. S. Bruner (61); E. Skinner (52); N. Mercer (51); S. Jarvela (47),Identifies one of the strongest continuities with the journal's historical focus on socially mediated learning and classroom interaction.,35,1445,2702
"Theoretical, philosophical and historical sources","Theoretical, philosophical and historical traditions","Theoretical, philosophical, historical and reflexive sources used to clarify concepts, critique assumptions, reconstruct traditions or situate educational psychology within broader intellectual debates.",B. K. Hofer (27),Shows where citation ancestry contributes to conceptual reflection and historical self-understanding rather than only empirical modelling.,1,27,53
